Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price USD,Variant Image 1
prod_01KZBCGJ3J74BG6MVSZ50VRJNE,logitech-smartphone-ultra-gen-9,Logitech Smartphone Ultra Gen-9,,published,,"Premium smartphone engineered by Logitech. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8V4AWYP6K9RXBD2T2F,Matte Black,TECH-10-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3J74BG6MVSZ50VRJNE,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,631,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3J8JT4WZV1WZZA89K0,samsung-speaker-air-gen-4,Samsung Speaker Air Gen-4,,published,,"Premium speaker engineered by Samsung. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8WGZZRH02C08113GKD,Matte Black,TECH-20-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3J8JT4WZV1WZZA89K0,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,540,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3J95GWNFBCMBSMTZMV,dell-speaker-max-gen-3,Dell Speaker Max Gen-3,,published,,"Premium speaker engineered by Dell. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1505156868547-9b49f4df4e04?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1505156868547-9b49f4df4e04?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8WR2TJKCXYVX8SCWT0,Matte Black,TECH-16-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3J95GWNFBCMBSMTZMV,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,947,https://images.unsplash.com/photo-1505156868547-9b49f4df4e04?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JAC4NMDH57NBYNQF3,sony-camera-air-gen-5,Sony Camera Air Gen-5,,published,,"Premium camera engineered by Sony. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8V2QET1CT4XXKXGZYT,Matte Black,TECH-6-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JAC4NMDH57NBYNQF3,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,108,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JAS2D25Q50K2NWQXD,asus-monitor-lite-gen-1,Asus Monitor Lite Gen-1,,published,,"Premium monitor engineered by Asus. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8WRBCCYV2Y7YY5E7CF,Matte Black,TECH-13-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JAS2D25Q50K2NWQXD,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,802,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JBCSJJ7F1HCEJDMGR,lenovo-camera-essential-gen-1,Lenovo Camera Essential Gen-1,,published,,"Premium camera engineered by Lenovo. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8W2YMKR9V9B44DYB9E,Matte Black,TECH-15-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JBCSJJ7F1HCEJDMGR,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,870,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JDJM5DFX9JZQGK5P0,samsung-keyboard-essential-gen-9,Samsung Keyboard Essential Gen-9,,published,,"Premium keyboard engineered by Samsung. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8V436NCYT3M88Z5V1Q,Matte Black,TECH-1-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JDJM5DFX9JZQGK5P0,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,1314,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JEP3YWBXWN1MN6NT4,dell-monitor-lite-gen-2,Dell Monitor Lite Gen-2,,published,,"Premium monitor engineered by Dell. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8VPEAPR8VFKH0D7SKC,Matte Black,TECH-8-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JEP3YWBXWN1MN6NT4,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,1407,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JG0G4MJ2D2246PNQP,apple-camera-pro-gen-9,Apple Camera Pro Gen-9,,published,,"Premium camera engineered by Apple. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1546868871-7041f2a55e12?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1546868871-7041f2a55e12?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8WPEV7YXD96DZG21MM,Matte Black,TECH-14-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JG0G4MJ2D2246PNQP,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,951,https://images.unsplash.com/photo-1546868871-7041f2a55e12?q=80&w=800&auto=format&fit=crop
prod_01KZBCGJ3JJSY7GJ1XPTDFYMZM,bose-smartwatch-air-gen-10,Bose Smartwatch Air Gen-10,,published,,"Premium smartwatch engineered by Bose. Features the latest technology, sleek design, and unparalleled performance. Perfect for professionals and enthusiasts alike.",false,true,https://images.unsplash.com/photo-1595225476474-87563907a212?q=80&w=800&auto=format&fit=crop,pcol_01KZBFHJTD669H84JAH61WF9R6,,,,,,,,,,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 13:07:47 GMT+0100 (GMT+01:00),,https://images.unsplash.com/photo-1595225476474-87563907a212?q=80&w=800&auto=format&fit=crop,sc_01KZ673CEPGC3SNN79A1AGTBKE,variant_01KZBCGJ8VN65QMYX84H0NXS25,Matte Black,TECH-2-BLK,,,,false,false,,,,,,,,,,0,,prod_01KZBCGJ3JJSY7GJ1XPTDFYMZM,Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),Thu Aug 06 2026 12:14:37 GMT+0100 (GMT+01:00),,629,https://images.unsplash.com/photo-1595225476474-87563907a212?q=80&w=800&auto=format&fit=crop
